iteration	notebook_path	dataset_path	label_index	model	score
40	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.871482859234882
40	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9858749565529265
40	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.8281892512568827
40	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.8277644945617778
40	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9998706812935084
40	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.4817233814835466
40	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.890671010543787
40	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.9633702257080722
40	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.9203668185066293
40	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9430447143870397
40	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9483272334238139
40	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8869229903128576
40	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9745623066267836
40	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.901501728740569
40	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8580880413934088
40	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.8778869968260251
50	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.7604275113381945
50	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.7995462961053569
50	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.8212646835824471
50	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9858749565529265
50	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.9838438483563934
50	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.8683046945887974
50	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.982344135219425
50	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.51647498630936
50	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.890671010543787
50	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.9633702257080722
50	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.8928465047292375
50	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9430447143870397
50	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9659696987949616
50	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.855948488467633
50	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9820303262342949
50	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.9063485471591867
50	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8580880413934088
50	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.9675588936937934
60	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.757792847683323
60	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.8078457327082046
60	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.9280809370911877
60	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9858749565529265
60	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.8660254037844386
60	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.7987472222548849
60	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9998706812935084
60	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.507126250053005
60	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.863843491186137
60	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.941799501682743
60	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.9086986018952833
60	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9430447143870397
60	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9696255407574413
60	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8869229903128576
60	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9820303262342949
60	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.8954063124655012
60	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8007423124834451
60	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.8294234518093563
70	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.7779781487933963
70	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.7992125259818146
70	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.9280809370911877
70	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9858749565529265
70	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.816496580927726
70	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.7492209657919187
70	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9998706812935084
70	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.498802393489843
70	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.890671010543787
70	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.941799501682743
70	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.9054825587552978
70	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9430447143870397
